"regiao","ano","mes","carga_de_demanda"
"SIN","2013",8,72240.15
"SIN","2013",9,72990.94
"SIN","2013",10,75141.52
"SIN","2013",11,76840.84
"SIN","2013",12,78982.91
"SIN","2014",1,83295.29
"SIN","2014",2,84920.41
"SIN","2014",3,80213.53
"SIN","2014",4,77798.7
"SIN","2014",5,73403.02
"SIN","2014",6,72965.09
"SIN","2014",7,72182.47
"SIN","2014",8,71900.27
"SIN","2014",9,73592.73
"SIN","2014",10,78787.89
"SIN","2014",11,75772.04
"SIN","2014",12,76975.84
"SIN","2015",1,84493.97
"SIN","2015",2,83194.19
"SIN","2015",3,80194.62
"SIN","2015",4,76302.19
"SIN","2015",5,71150.7
"SIN","2015",6,70775.88
"SIN","2015",7,69159.19
"SIN","2015",8,71094.42
"SIN","2015",9,78856.3
"SIN","2015",10,78822.66
"SIN","2015",11,77994.53
"SIN","2015",12,78514.66
"SIN","2016",1,77913.89
"SIN","2016",2,82116.72
"SIN","2016",3,79760.62
"SIN","2016",4,80968.65
"SIN","2016",5,0
"SIN","2016",6,0
"SIN","2016",7,0
"SIN","2016",8,0
"SIN","2016",9,0
"SIN","2016",10,0
"SIN","2016",11,0
"SIN","2016",12,0
