"regiao","ano","mes","carga_de_demanda"
"NE","2003",7,7058.39
"NE","2003",8,7438.98
"NE","2003",9,7525.61
"NE","2003",10,7719.86
"NE","2003",11,7743.21
"NE","2003",12,7774.33
"NE","2004",1,7422.98
"NE","2004",2,7373.74
"NE","2004",3,7623.49
"NE","2004",4,7683.95
"NE","2004",5,7704.59
"NE","2004",6,7597.11
"NE","2004",7,7587.89
"NE","2004",8,7965.22
"NE","2004",9,8040.38
"NE","2004",10,8256.95
"NE","2004",11,8268
"NE","2004",12,8116.58
"NE","2005",1,8093.27
"NE","2005",2,8058.17
"NE","2005",3,8182.4
"NE","2005",4,8272.68
"NE","2005",5,8158.86
"NE","2005",6,8062.41
"NE","2005",7,7978.97
"NE","2005",8,8187.37
"NE","2005",9,8461.03
"NE","2005",10,8454
"NE","2005",11,8434
"NE","2005",12,8400.85
"NE","2006",1,8394.01
"NE","2006",2,8300.52
"NE","2006",3,8370.56
"NE","2006",4,8306.86
"NE","2006",5,8308.71
"NE","2006",6,8235.04
"NE","2006",7,8259.39
"NE","2006",8,8362.71
"NE","2006",9,8649.12
"NE","2006",10,8777.62
"NE","2006",11,8795.65
"NE","2006",12,8862.82
"NE","2007",1,8919.51
"NE","2007",2,8820.52
"NE","2007",3,8685
"NE","2007",4,8800.57
"NE","2007",5,8612.75
"NE","2007",6,8618.89
"NE","2007",7,8715.71
"NE","2007",8,8716.09
"NE","2007",9,8964.58
"NE","2007",10,9245
"NE","2007",11,9176.59
"NE","2007",12,9130.74
"NE","2008",1,9080.4
"NE","2008",2,9009.9
"NE","2008",3,8895.25
"NE","2008",4,9136.4
"NE","2008",5,9102.3
"NE","2008",6,8928.14
"NE","2008",7,8916.79
"NE","2008",8,9119.56
"NE","2008",9,9262.6
"NE","2008",10,9410.52
"NE","2008",11,9428.58
"NE","2008",12,9109.92
"NE","2009",1,8826.77
"NE","2009",2,8978.19
"NE","2009",3,9105.18
"NE","2009",4,9009.38
"NE","2009",5,8847.65
"NE","2009",6,8873.59
"NE","2009",7,8820.53
"NE","2009",8,9069.63
"NE","2009",9,9382.58
"NE","2009",10,9545.65
"NE","2009",11,9575.02
"NE","2009",12,9693.89
"NE","2010",1,9639.61
"NE","2010",2,10006.53
"NE","2010",3,10103.57
"NE","2010",4,9823.92
"NE","2010",5,9913.84
"NE","2010",6,9832.6
"NE","2010",7,9543.74
"NE","2010",8,9541.63
"NE","2010",9,9749.43
"NE","2010",10,10136.86
"NE","2010",11,9905.58
"NE","2010",12,9904.11
"NE","2011",1,9619.45
"NE","2011",2,9550.13
"NE","2011",3,9944.59
"NE","2011",4,10056.01
"NE","2011",5,9839.49
"NE","2011",6,9797.83
"NE","2011",7,9759.36
"NE","2011",8,9758.03
"NE","2011",9,10023.44
"NE","2011",10,10158.11
"NE","2011",11,10226.51
"NE","2011",12,10218.78
"NE","2012",1,10277.91
"NE","2012",2,10539.98
"NE","2012",3,10439.45
"NE","2012",4,10580.55
"NE","2012",5,10531.91
"NE","2012",6,10265.4
"NE","2012",7,10195.09
"NE","2012",8,10047.01
"NE","2012",9,10616.62
"NE","2012",10,10835.28
"NE","2012",11,10772.66
"NE","2012",12,10984.06
"NE","2013",1,11008.84
"NE","2013",2,11360.9
"NE","2013",3,11586.24
"NE","2013",4,11552.68
"NE","2013",5,10915.1
"NE","2013",6,10646.3
"NE","2013",7,10655.2
"NE","2013",8,10805.03
"NE","2013",9,11275.2
"NE","2013",10,11338.04
"NE","2013",11,11448.16
"NE","2013",12,11702.68
"NE","2014",1,11567.16
"NE","2014",2,11609.82
"NE","2014",3,11504.02
"NE","2014",4,11583.97
"NE","2014",5,11410.05
"NE","2014",6,11023.01
