"bases","regioes","periodos","unidades_de_medida","download_ok","leitura_ok"
"mensal","SE/CO",2008,"GWh",TRUE,TRUE
"anual","SUL",2008,"GWh",TRUE,TRUE
"mensal","SUL",2008,"GWh",TRUE,TRUE
"anual","NORDESTE",2008,"GWh",TRUE,TRUE
"mensal","NORDESTE",2008,"GWh",TRUE,TRUE
"anual","NORTE",2008,"GWh",TRUE,TRUE
"mensal","NORTE",2008,"GWh",TRUE,TRUE
"anual","SIN",2008,"GWh",TRUE,TRUE
"mensal","SIN",2008,"GWh",TRUE,TRUE
"anual","SE/CO",2009,"GWh",TRUE,TRUE
"mensal","SE/CO",2009,"GWh",TRUE,TRUE
"anual","SUL",2009,"GWh",TRUE,TRUE
"mensal","SUL",2009,"GWh",TRUE,TRUE
"anual","NORDESTE",2009,"GWh",TRUE,TRUE
"mensal","NORDESTE",2009,"GWh",TRUE,TRUE
"anual","NORTE",2009,"GWh",TRUE,TRUE
"mensal","NORTE",2009,"GWh",TRUE,TRUE
"anual","SIN",2009,"GWh",TRUE,TRUE
"mensal","SIN",2009,"GWh",TRUE,TRUE
"anual","SE/CO",2010,"GWh",TRUE,TRUE
"mensal","SE/CO",2010,"GWh",TRUE,TRUE
"anual","SUL",2010,"GWh",TRUE,TRUE
"mensal","SUL",2010,"GWh",TRUE,TRUE
"anual","NORDESTE",2010,"GWh",TRUE,TRUE
"mensal","NORDESTE",2010,"GWh",TRUE,TRUE
"anual","NORTE",2010,"GWh",TRUE,TRUE
"mensal","NORTE",2010,"GWh",TRUE,TRUE
"anual","SIN",2010,"GWh",TRUE,TRUE
"mensal","SIN",2010,"GWh",TRUE,TRUE
"anual","SE/CO",2011,"GWh",TRUE,TRUE
"mensal","SE/CO",2011,"GWh",TRUE,TRUE
"anual","SUL",2011,"GWh",TRUE,TRUE
"mensal","SUL",2011,"GWh",TRUE,TRUE
"anual","NORDESTE",2011,"GWh",TRUE,TRUE
"mensal","NORDESTE",2011,"GWh",TRUE,TRUE
"anual","NORTE",2011,"GWh",TRUE,TRUE
"mensal","NORTE",2011,"GWh",TRUE,TRUE
"anual","SIN",2011,"GWh",TRUE,TRUE
"mensal","SIN",2011,"GWh",TRUE,TRUE
"anual","SE/CO",2012,"GWh",TRUE,TRUE
"mensal","SE/CO",2012,"GWh",TRUE,TRUE
"anual","SUL",2012,"GWh",TRUE,TRUE
"mensal","SUL",2012,"GWh",TRUE,TRUE
"anual","NORDESTE",2012,"GWh",TRUE,TRUE
"mensal","NORDESTE",2012,"GWh",TRUE,TRUE
"anual","NORTE",2012,"GWh",TRUE,TRUE
"mensal","NORTE",2012,"GWh",TRUE,TRUE
"anual","SIN",2012,"GWh",TRUE,TRUE
"mensal","SIN",2012,"GWh",TRUE,TRUE
"anual","SE/CO",2013,"GWh",TRUE,TRUE
"mensal","SE/CO",2013,"GWh",TRUE,TRUE
"anual","SUL",2013,"GWh",TRUE,TRUE
"mensal","SUL",2013,"GWh",TRUE,TRUE
"anual","NORDESTE",2013,"GWh",TRUE,TRUE
"mensal","NORDESTE",2013,"GWh",TRUE,TRUE
"anual","NORTE",2013,"GWh",TRUE,TRUE
"mensal","NORTE",2013,"GWh",TRUE,TRUE
"anual","SIN",2013,"GWh",TRUE,TRUE
"mensal","SIN",2013,"GWh",TRUE,TRUE
"anual","SE/CO",2014,"GWh",TRUE,TRUE
"mensal","SE/CO",2014,"GWh",TRUE,TRUE
"anual","SUL",2014,"GWh",TRUE,TRUE
"mensal","SUL",2014,"GWh",TRUE,TRUE
"anual","NORDESTE",2014,"GWh",TRUE,TRUE
"mensal","NORDESTE",2014,"GWh",TRUE,TRUE
"anual","NORTE",2014,"GWh",TRUE,TRUE
"mensal","NORTE",2014,"GWh",TRUE,TRUE
"anual","SIN",2014,"GWh",TRUE,TRUE
"mensal","SIN",2014,"GWh",TRUE,TRUE
"anual","SE/CO",2015,"GWh",TRUE,TRUE
"mensal","SE/CO",2015,"GWh",TRUE,TRUE
"anual","SUL",2015,"GWh",TRUE,TRUE
"mensal","SUL",2015,"GWh",TRUE,TRUE
"anual","NORDESTE",2015,"GWh",TRUE,TRUE
"mensal","NORDESTE",2015,"GWh",TRUE,TRUE
"anual","NORTE",2015,"GWh",TRUE,TRUE
"mensal","NORTE",2015,"GWh",TRUE,TRUE
"anual","SIN",2015,"GWh",TRUE,TRUE
"mensal","SIN",2015,"GWh",TRUE,TRUE
"anual","SE/CO",2016,"GWh",TRUE,TRUE
"mensal","SE/CO",2016,"GWh",TRUE,TRUE
"anual","SUL",2016,"GWh",TRUE,TRUE
"mensal","SUL",2016,"GWh",TRUE,TRUE
"anual","NORDESTE",2016,"GWh",TRUE,TRUE
"mensal","NORDESTE",2016,"GWh",TRUE,TRUE
"anual","NORTE",2016,"GWh",TRUE,TRUE
"mensal","NORTE",2016,"GWh",TRUE,TRUE
"anual","SIN",2016,"GWh",TRUE,TRUE
"mensal","SIN",2016,"GWh",TRUE,TRUE
